NUMERO;GENERO;TIPO_COLEGIO;LOCALIDAD_COLEGIO;CALENDARIO;MUNICIPIO;DEPARTAMENTO;PG_ICFES;CON_MAT_ICFES;APT_MAT_ICFES;FISICA_ICFES;QUIMICA_ICFES;APT_VERB_ICFES;LITERATURA_ICFES;BIOLOGIA_ICFES;SOCIALES_ICFES;FILOSOFIA_ICFES;IDIOMA_ICFES;LOCALIDAD;DISTANCIA;INSCRIPCION;ESTRATO;ANO_INGRESO;RENDIMIENTO_UNO
1;1;0;20;0;0;0;474;66;66;73;75;68;68;58;0;65;79;20;6;9;3;2011;2
2;1;2;2;1;19;5;523;99;99;70;79;81;81;61;0;64;60;1;5;9;3;2011;2
3;0;2;20;1;121;18;483;64;64;76;82;65;65;63;0;64;77;20;6;9;3;2011;1
4;0;1;19;1;19;5;529;89;89;70;78;74;74;83;0;62;75;19;5;9;2;2011;1
5;0;2;8;1;19;5;478;78;78;70;66;71;71;66;0;60;70;8;3;9;3;2011;2
6;0;0;14;0;0;0;385;62;62;56;52;65;65;54;0;51;61;5;6;6;1;2011;1
7;0;1;11;1;19;5;505;75;75;76;72;65;65;80;0;68;75;11;5;9;3;2011;2
8;1;2;9;1;19;5;492;75;75;67;66;74;74;75;0;65;73;9;4;9;3;2011;1
9;0;2;11;1;19;5;483;75;75;67;75;65;65;73;0;61;67;11;5;9;2;2011;2
10;0;2;10;1;19;5;499;63;63;67;93;68;68;64;0;74;78;8;3;9;2;2011;2
11;0;1;20;1;90;16;401;66;66;51;57;56;56;53;0;62;46;20;6;5;1;2011;1
12;0;2;10;1;19;5;447;78;78;61;75;56;56;52;0;60;62;7;5;7;2;2011;2
13;0;1;10;1;19;5;479;78;78;70;59;65;65;69;0;65;58;10;3;9;3;2011;2
14;0;1;8;1;19;5;466;71;71;79;62;62;62;73;0;54;61;8;3;9;2;2011;2
15;1;2;4;1;19;5;516;75;75;67;93;71;71;76;0;70;60;4;4;9;2;2011;2
16;1;2;20;1;121;18;521;84;84;70;83;85;85;76;0;67;79;20;6;9;3;2011;2
17;0;1;20;1;87;7;505;79;79;67;70;62;62;80;0;76;67;20;6;9;2;2011;2
18;0;1;19;1;19;5;442;63;63;67;54;56;56;72;0;65;51;19;5;4;1;2011;1
19;1;2;9;1;19;5;485;84;84;57;75;68;68;67;0;67;75;8;3;9;2;2011;2
20;1;0;4;0;0;0;488;75;75;70;87;59;59;80;0;52;56;18;3;9;2;2011;2
21;0;1;8;1;19;5;492;78;78;70;70;74;74;73;0;65;69;8;3;9;3;2011;1
22;0;2;19;1;19;5;468;72;72;83;60;54;54;73;0;61;67;19;5;9;3;2011;2
