Tipo de escenario,Corregimiento o comuna,VeredaBarrio,Nombre barrio o vereda,Nombre escenario deportivo,Dirección,Longitud,latitud,georeferenciacion
Gimnasio,Comuna 1 Liborio Mejía,Barrio,laureles,gimnasio coliseo Ruben Dario Quintero,carrera 51 # 28 - 32,6.66157582,75.75372677,POINT (6.66157582 75.75372677)
Cancha de fútbol arena,Corregimiento Norte o Néstor Esteban Sanint Arbeláez,Vereda,vereda cimarronas,cancha de futbol de cimarronas,vereda cimarronas,6.66167318,75.75358679,POINT (6.66167318 75.75358679)
Gimnasio al aire libre,Corregimiento Norte o Néstor Esteban Sanint Arbeláez,Vereda,vereda Rio abajo,gimnasio al aire libre Rio abajo,Rio abajo,6.66217579,75.75342153,POINT (6.66217579 75.75342153)
Gimnasio al aire libre,Comuna 3 Monseñor Alfonso Uribe Jaramillo,Barrio,sector tranvia,gimnasio al aire libre centro reclusorio,,6.66161042,75.75365478,POINT (6.66161042 75.75365478)
Placa Polideportiva,Corregimiento Centro o Casimiro García,Vereda,vereda chachafruto,placa polideportiva chachafruto,sector base aerea,6.66164222,75.75416162,POINT (6.66164222 75.75416162)
Pista de bicicross,Comuna 3 Monseñor Alfonso Uribe Jaramillo,Barrio,Vía juan de Dios morales,Pista de bicros unidad deportiva,Unidad deportiva Alberto Alberto grisalez,6.66146438,75.75373452,POINT (6.66146438 75.75373452)
Coliseo,Comuna 3 Monseñor Alfonso Uribe Jaramillo,Barrio,Sector estadio,Coliseo Ivan Ramiro Córdoba,Unidad deportiva Alberto Alberto grisalez,6.66146438,75.75373452,POINT (6.66146438 75.75373452)
Gimnasio al aire libre,Comuna 3 Monseñor Alfonso Uribe Jaramillo,Barrio,Sector estadio,Gimnasio al aire libre unidad deportiva Alberto grisalez,Sector estadio,6.66146438,75.75373452,POINT (6.66146438 75.75373452)
Gimnasio al aire libre,Comuna 1 Liborio Mejía,Barrio,Alto del medio,Gimnasio al aire libre alto del medio,Alto del medio,6.66155915,75.75376185,POINT (6.66155915 75.75376185)
Parques infantiles,Comuna 1 Liborio Mejía,Barrio,Alto del medio,Parque infantil alto del medio,Alto del medio,6.66155915,75.75376185,POINT (6.66155915 75.75376185)
